Template A,Attribute A,Template B,Attribute B,Property A,Property B,Annotation,Notes (in case of confusion),Class A,Class B,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Infobox_album,Artist,Infobox_Album,Παραγωγός,dbo:artist,dbo:producer,Correct as it is now,,dbo:Album,dbo:Album,dbo:MusicalWork,dbo:Work,dbo:Agent,dbo:Agent,0.5324,0.5136,0.6994,0.4969,479,255,246,335,238,479,479,0,0,1,0,0,0,1,0,1,0,0
Infobox_album,Producer,Infobox_Album,Καλλιτέχνης,dbo:producer,dbo:artist,Correct as it is now,,dbo:Album,dbo:Album,dbo:Work,dbo:MusicalWork,dbo:Agent,dbo:Agent,0.3304,0.8355,0.837,0.3261,687,227,574,575,224,687,687,0,0,1,0,0,0,0,1,1,0,0
Infobox_football_club,position,Κουτί_πληροφοριών_ποδοσφαιρικού_συλλόγου,κατηγορία,dbo:position,dbo:league,Correct as it is now,,dbo:SoccerClub,dbo:SoccerClub,,,,dbo:SportsLeague,0.7525,0.278,0.2542,0.1085,295,222,82,75,32,295,295,0,0,1,0,0,0,0,0,0,0,0
Infobox_football_club,league,Κουτί_πληροφοριών_ποδοσφαιρικού_συλλόγου,θέση,dbo:league,dbo:position,Correct as it is now,,dbo:SoccerClub,dbo:SoccerClub,,,dbo:SportsLeague,,0.7993,0.2226,0.1679,0.135,274,219,61,46,37,274,274,0,0,1,0,0,0,0,0,0,0,0
Infobox_country,leader_name1,Πληροφορίες_Χώρας,ονόματα_ηγετών,dbo:leader,dbo:leaderName,Wrong - should be the same,,dbo:Country,dbo:Country,,dbo:PopulatedPlace,dbo:Person,dbo:Person,0.9815,0.963,0,0,216,212,208,0,0,216,216,0,0,1,0,0,0,0,0,1,0,0
Infobox_country,leader_name2,Πληροφορίες_Χώρας,ονόματα_ηγετών,dbo:leader,dbo:leaderName,Wrong - should be the same,,dbo:Country,dbo:Country,,dbo:PopulatedPlace,dbo:Person,dbo:Person,0.9398,0.9537,0,0,216,203,206,0,0,216,216,0,0,1,0,0,0,0,0,1,0,0
Infobox_country,official_languages,Πληροφορίες_Χώρας,επίσημες_γλώσσες,dbo:officialLanguage,dbo:language,Wrong - should be the same,,dbo:Country,dbo:Country,dbo:PopulatedPlace,,dbo:Language,dbo:Language,0.91,0.445,0.635,0,200,182,89,127,0,200,200,0,0,1,0,0,0,0,0,1,0,0
Infobox_musical_artist,origin,Μουσικό_συγκρότημα,χώρα,dbo:hometown,dbo:country,Correct as it is now,,,dbo:Band,dbo:Agent,,dbo:Settlement,dbo:Country,0.5733,0.9772,0,0,307,176,300,0,0,307,307,0,0,0,0,0,0,0,0,0,0,0
See_also,1,Πόλη,Χώρα,rdfs:seeAlso,dbo:country,Correct as it is now,,owl:Thing,dbo:City,,,,dbo:Country,0.5506,1,0.8513,0,316,174,316,269,0,316,316,0,0,0,0,1,0,0,0,0,0,0
Infobox_film,distributor,Κουτί_πληροφοριών_ταινίας,παραγωγός,dbo:distributor,dbo:producer,Correct as it is now,,dbo:Film,,,dbo:Work,dbo:Organisation,dbo:Agent,0.4732,0.619,0.875,0.006,336,159,208,294,2,336,336,0,0,0,0,0,0,0,0,0,1,0
Infobox_country,capital,Πληροφορίες_Χώρας,πρωτεύουσα_και_μεγαλύτερη_πόλη,dbo:capital,dbo:capitalCountry,Wrong - should be the same,,dbo:Country,dbo:Country,dbo:PopulatedPlace,dbo:Island,dbo:City,dbo:Country,0.9868,0.0132,0,0,152,150,2,0,0,152,152,0,0,1,0,0,0,0,1,0,0,0
Infobox_film,director,Κουτί_πληροφοριών_ταινίας,σεναριογράφος,dbo:director,dbo:writer,Correct as it is now,,dbo:Film,,dbo:Film,dbo:Work,dbo:Person,dbo:Person,0.5052,0.6228,0.6851,0.3356,289,146,180,198,97,289,289,0,0,0,0,0,0,1,0,1,0,0
Infobox_basketball_biography,position,Καλαθοσφαιριστής,Θέση,dbo:position,dbo:sportSpecialty,Wrong - should be the same,,dbo:BasketballPlayer,dbo:BasketballPlayer,,dbo:Athlete,,dbo:Sport,0.9118,0.6029,0,0,136,124,82,0,0,136,136,0,0,1,0,0,0,0,0,0,0,0
Infobox_film,producer,Κουτί_πληροφοριών_ταινίας,σκηνοθέτης,dbo:producer,dbo:director,Correct as it is now,,dbo:Film,,dbo:Work,dbo:Film,dbo:Agent,dbo:Person,0.3401,0.7752,0.781,0.2622,347,118,269,271,91,347,347,0,0,0,0,0,0,0,1,0,0,1
Infobox_film,director,Κουτί_πληροφοριών_ταινίας,παραγωγός,dbo:director,dbo:producer,Correct as it is now,,dbo:Film,,dbo:Film,dbo:Work,dbo:Person,dbo:Agent,0.3079,0.7203,0.6582,0.3164,354,109,255,233,112,354,354,0,0,0,0,0,0,1,0,0,1,0
Infobox_royalty,father,Infobox_Royalty,προκάτοχος,dbo:parent,dbo:predecessor,Correct as it is now,,dbo:Royalty,dbo:BritishRoyalty,dbo:Person,,dbo:Person,,0.5266,0.9758,0.8647,0.5942,207,109,202,179,123,207,207,0,0,0,0,1,0,0,0,0,0,0
Infobox_royalty,mother,Infobox_Royalty,προκάτοχος,dbo:parent,dbo:predecessor,Correct as it is now,,dbo:Royalty,dbo:BritishRoyalty,dbo:Person,,dbo:Person,,0.5121,0.9034,0.8647,0.5942,207,106,187,179,123,207,207,0,0,0,0,1,0,0,0,0,0,0
Infobox_settlement,subdivision_name1,Επαρχία_Ιταλίας,region,dbo:isPartOf,dbo:region,Wrong - should be the same,,,dbo:AdministrativeRegion,,,,dbo:Place,0.9905,0.0095,0,0,105,104,1,0,0,105,105,0,0,0,0,0,0,0,0,0,0,0
Infobox_country,leader_name3,Πληροφορίες_Χώρας,ονόματα_ηγετών,dbo:leader,dbo:leaderName,Wrong - should be the same,,dbo:Country,dbo:Country,,dbo:PopulatedPlace,dbo:Person,dbo:Person,0.4676,0.4722,0,0,216,101,102,0,0,216,216,0,0,1,0,0,0,0,0,1,0,0
Infobox_musical_artist,birth_place,Πληροφορίες_μουσικού,καταγωγή,dbo:birthPlace,dbo:hometown,Correct as it is now,,,dbo:MusicalArtist,dbo:Person,dbo:Agent,dbo:Place,dbo:Settlement,0.4686,0.9855,0.1256,0.3382,207,97,204,26,70,207,207,0,0,0,0,0,0,1,0,0,0,1
Infobox_settlement,subdivision_name1,Πόλη,Περιφέρεια,dbo:isPartOf,dbo:region,Wrong - should be the same,,,dbo:City,,,,dbo:Place,0.8051,0.822,0,0,118,95,97,0,0,118,118,0,0,0,0,0,0,0,0,0,0,0
Infobox_royalty,predecessor,Infobox_Royalty,πατέρας,dbo:predecessor,dbo:parent,Correct as it is now,,dbo:Royalty,dbo:BritishRoyalty,,dbo:Person,,dbo:Person,0.5294,0.6706,0.9647,0.6353,170,90,114,164,108,170,170,0,0,0,0,1,0,0,0,0,0,0
Infobox_royalty,successor,Infobox_Royalty,επίγονοι,dbo:successor,dbo:child,Wrong - should be the same,,dbo:Royalty,dbo:BritishRoyalty,,dbo:Person,,dbo:Person,0.7236,0.7154,0,0.6016,123,89,88,0,74,123,123,0,0,0,0,1,0,0,0,0,0,0
Infobox_automobile,related,Πληροφορίες_αυτοκινήτου,related,dbo:relatedMeanOfTransportation,dbo:related,,,dbo:Automobile,dbo:Automobile,dbo:MeanOfTransportation,,dbo:MeanOfTransportation,,0.8788,0.7071,0,0,99,87,70,0,0,99,99,0,0,1,0,0,0,0,0,0,0,0
Infobox_single,Artist,Infobox_Single,Καλλιτέχνης,dbo:musicalBand,dbo:musicalArtist,Wrong - should be the same,,dbo:Single,dbo:Single,dbo:Single,dbo:Single,dbo:Band,dbo:MusicalArtist,0.9655,0.2414,0.2184,0.0115,87,84,21,19,1,87,87,0,0,1,0,0,1,0,0,0,0,0
