Template A,Attribute A,Template B,Attribute B,Property A,Property B,Annotation,Notes (in case of confusion),Class A,Class B,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Infobox_political_party,foundation,Κουτί_πληροφοριών_πολιτικού_κόμματος,ίδρυση,dbo:formationYear,dbo:foundingYear,,,dbo:PoliticalParty,dbo:PoliticalParty,dbo:Organisation,,xsd:gYear,xsd:gYear,0.7455,0.1116,0,0,224,167,25,0,0,224,224,0,0,1,0,0,0,0,0,1,0,0
Infobox_country,area_km2,Πληροφορίες_Χώρας,έκταση,dbo:areaTotal,dbo:areaMetro,Wrong - should be the same,,dbo:Country,dbo:Country,dbo:Place,,xsd:double,xsd:double,0.4958,0.9625,0,0,240,119,231,0,0,240,240,0,0,1,0,0,0,0,0,1,0,0
Infobox_country,area_sq_mi,Πληροφορίες_Χώρας,έκταση,dbo:areaTotal,dbo:areaMetro,Wrong - should be the same,,dbo:Country,dbo:Country,dbo:Place,,xsd:double,xsd:double,0.4583,0.9125,0,0,240,110,219,0,0,240,240,0,0,1,0,0,0,0,0,1,0,0
Infobox_Scottish_island,highest_elevation,Νησί,υψόμετρο,dbo:maximumElevation,dbo:elevation,Correct as it is now,,dbo:Island,dbo:Island,dbo:Place,dbo:Place,xsd:double,xsd:double,0.9524,0.0476,0,0,63,60,3,0,0,63,63,0,0,1,0,0,1,0,0,1,0,0
Infobox_royalty,reign,Infobox_Royalty,περίοδος_εξουσίας,dbo:activeYearsEndYear,dbo:activeYearsStartYear,,,dbo:Royalty,dbo:BritishRoyalty,,,xsd:gYear,xsd:gYear,0.2179,0.8291,0.7821,0.9274,234,51,194,183,217,234,234,0,0,0,0,1,0,0,0,1,0,0
Infobox_automobile,production,Πληροφορίες_αυτοκινήτου,production,dbo:productionEndYear,dbo:productionStartYear,,,dbo:Automobile,dbo:Automobile,,,xsd:gYear,xsd:gYear,0.184,0.872,0.792,0,250,46,218,198,0,250,250,0,0,1,0,0,0,0,0,1,0,0
Infobox_language,iso3,Πληροφορίες_γλώσσας,iso-2,dbo:iso6393Code,dbo:iso6392Code,Correct as it is now,,dbo:Language,dbo:Language,dbo:Language,dbo:Language,xsd:string,xsd:string,0.6618,0.3382,0.0294,0.3824,68,45,23,2,26,68,68,0,0,1,0,0,1,0,0,1,0,0
Infobox_language,iso2,Πληροφορίες_γλώσσας,iso-3,dbo:iso6392Code,dbo:iso6393Code,Correct as it is now,,dbo:Language,dbo:Language,dbo:Language,dbo:Language,xsd:string,xsd:string,0.8824,0.1176,0.0392,0.1569,51,45,6,2,8,51,51,0,0,1,0,0,1,0,0,1,0,0
Infobox_television,first_aired,Κουτί_πληροφοριών_τηλεοπτικής_σειράς,Α΄Προβολή,dbo:releaseDate,dbo:activeYearsStartDate,,,dbo:TelevisionShow,dbo:TelevisionShow,,,xsd:date,xsd:date,0.898,0.1633,0,0,49,44,8,0,0,49,49,0,0,1,0,0,0,0,0,1,0,0
Infobox_political_party,foundation,Κουτί_πληροφοριών_πολιτικού_κόμματος,ίδρυση,dbo:formationDate,dbo:foundingDate,Wrong - should be the same,,dbo:PoliticalParty,dbo:PoliticalParty,dbo:Organisation,,xsd:date,xsd:date,0.7,0.0667,0,0,60,42,4,0,0,60,60,0,0,1,0,0,0,0,0,1,0,0
Infobox_television,last_aired,Κουτί_πληροφοριών_τηλεοπτικής_σειράς,Τελευταία_Προβολή,dbo:completionDate,dbo:activeYearsEndDate,Wrong - should be the same,,dbo:TelevisionShow,dbo:TelevisionShow,dbo:Work,,xsd:date,xsd:date,0.75,0.2727,0,0,44,33,12,0,0,44,44,0,0,1,0,0,0,0,0,1,0,0
Infobox_lake,max-depth,Κουτί_πληροφοριών_λίμνης,μέγιστο_βάθος,dbo:maximumDepth,dbo:depth,Wrong - should be the same,,dbo:Lake,dbo:Lake,dbo:Place,dbo:Place,xsd:double,xsd:double,0.5818,0.8182,0,0,55,32,45,0,0,55,55,1,0,1,0,0,1,0,0,1,0,0
Infobox_spaceflight,COSPAR_ID,Πτήση_διαστημικού_λεωφορείου,κωδικός,dbo:cosparId,dbo:agencyStationCode,Correct as it is now,,dbo:ArtificialSatellite,dbo:SpaceShuttle,,dbo:Station,xsd:string,xsd:string,0.8611,0.1389,0,0,36,31,5,0,0,36,36,0,0,0,0,0,0,0,0,1,0,0
Infobox_Election,election_date,Κουτί_πληροφοριών_εκλογών,εκλογή_ημερομηνία,dbo:startDate,dbo:date,Wrong - should be the same,,,dbo:PrimeMinister,dbo:Event,,xsd:date,xsd:date,1,0,0,0,28,28,0,0,0,28,28,0,0,0,0,0,0,0,0,1,0,0
Infobox_musical_artist,years_active,Μουσικό_συγκρότημα,παρουσία,dbo:activeYearsEndYear,dbo:activeYearsStartYear,,,,dbo:Band,,,xsd:gYear,xsd:gYear,0.1788,0.8146,0.7947,0.8742,151,27,123,120,132,151,151,0,0,0,0,0,0,0,0,1,0,0
Infobox_ship_characteristics,Ship_beam,Πλοίο,πλάτος,dbo:shipBeam,dbo:width,Correct as it is now,,dbo:Ship,dbo:Ship,dbo:Ship,,xsd:double,xsd:double,0.4032,0.6452,0,0,62,25,40,0,0,62,62,0,0,1,0,0,0,0,0,1,0,0
Infobox_television,runtime,Κουτί_πληροφοριών_τηλεοπτικής_σειράς,Διάρκεια,dbo:runtime,dbo:duration,Wrong - should be the same,,dbo:TelevisionShow,dbo:TelevisionShow,dbo:Work,dbo:Event,xsd:double,xsd:double,0.5435,0.5,0,0,46,25,23,0,0,46,46,0,0,1,0,0,0,0,0,1,0,0
Infobox_lake,max-depth,Κουτί_πληροφοριών_λίμνης,μέσο_βάθος,dbo:maximumDepth,dbo:depth,Correct as it is now,,dbo:Lake,dbo:Lake,dbo:Place,dbo:Place,xsd:double,xsd:double,0.4364,0.7091,0,0,55,24,39,0,0,55,55,1,0,1,0,0,1,0,0,1,0,0
Infobox_royalty,reign,Infobox_Royalty,περίοδος_εξουσίας,dbo:activeYearsStartYear,dbo:activeYearsEndYear,,,dbo:Royalty,dbo:BritishRoyalty,,,xsd:gYear,xsd:gYear,0.08,0.9455,0.6655,0.9091,275,22,260,183,250,275,275,0,0,0,0,1,0,0,0,1,0,0
Infobox_stadium,capacity,Κουτί_πληροφοριών_σταδίου,χωρητικότητα,dbo:seatingCapacity,dbo:capacity,Wrong - should be the same,,dbo:Stadium,dbo:Stadium,dbo:Building,,xsd:nonNegativeInteger,xsd:nonNegativeInteger,0.6176,0.5294,0,0,34,21,18,0,0,34,34,0,0,1,0,0,0,0,0,1,0,0
Infobox_stadium,built,Κουτί_πληροφοριών_σταδίου,χτίσιμο,dbo:buildingStartDate,dbo:buildingEndDate,,,dbo:Stadium,dbo:Stadium,,,xsd:string,xsd:string,0.3226,0.4194,0.2097,0,62,20,26,13,0,62,62,0,0,1,0,0,0,0,0,1,0,0
Persondata,DATE_OF_DEATH,Infobox_Royalty,περίοδος_εξουσίας,dbo:deathYear,dbo:activeYearsEndYear,,,dbo:Person,dbo:BritishRoyalty,dbo:Person,,xsd:gYear,xsd:gYear,0.95,0.1,0.05,0,20,19,2,1,0,20,20,0,0,0,0,1,0,0,0,1,0,0
Infobox_lake,depth,Κουτί_πληροφοριών_λίμνης,μέσο_βάθος,dbo:averageDepth,dbo:depth,,the mappings shoul dbe reverse to be correct :),dbo:Lake,dbo:Lake,dbo:Place,dbo:Place,xsd:double,xsd:double,0.4524,0.881,0,0,42,19,37,0,0,42,42,1,0,1,0,0,1,0,0,1,0,0
Infobox_lake,depth,Κουτί_πληροφοριών_λίμνης,μέγιστο_βάθος,dbo:averageDepth,dbo:depth,,,dbo:Lake,dbo:Lake,dbo:Place,dbo:Place,xsd:double,xsd:double,0.4286,0.9286,0,0,42,18,39,0,0,42,42,1,0,1,0,0,1,0,0,1,0,0
Infobox_musical_artist,years_active,Πληροφορίες_μουσικού,παρουσία,dbo:activeYearsEndYear,dbo:activeYearsStartYear,,,,dbo:MusicalArtist,,,xsd:gYear,xsd:gYear,0.1789,0.8105,0.7895,0.7053,95,17,77,75,67,95,95,0,0,0,0,0,0,0,0,1,0,0
Infobox_stadium,broke_ground,Κουτί_πληροφοριών_σταδίου,χτίσιμο,dbo:buildingStartDate,dbo:buildingEndDate,,,dbo:Stadium,dbo:Stadium,,,xsd:string,xsd:string,0.2742,0.4516,0.2097,0,62,17,28,13,0,62,62,0,0,1,0,0,0,0,0,1,0,0
Infobox_political_party,foundation,Κουτί_πληροφοριών_πολιτικού_κόμματος,ιδρύθηκε,dbo:formationYear,dbo:foundingYear,Wrong - should be the same,,dbo:PoliticalParty,dbo:PoliticalParty,dbo:Organisation,,xsd:gYear,xsd:gYear,0.0759,0.0357,0,0,224,17,8,0,0,224,224,0,0,1,0,0,0,0,0,1,0,0
Infobox_Christian_leader,death_date,Πάπας,έως,dbo:deathDate,dbo:activeYearsEndDate,,,,dbo:Pope,dbo:Person,,xsd:date,xsd:date,0.8095,0.1905,0,0.0476,21,17,4,0,1,21,21,0,0,0,0,0,0,0,0,1,0,0
Infobox_Political_Party,foundation,Κουτί_πληροφοριών_πολιτικού_κόμματος,ίδρυση,dbo:formationYear,dbo:foundingYear,,,,dbo:PoliticalParty,dbo:Organisation,,xsd:gYear,xsd:gYear,0.7273,0.1364,0,0,22,16,3,0,0,22,22,0,0,0,0,0,0,0,0,1,0,0
Infobox_Greek_Dimos,elevation_max,Νησί,υψόμετρο,dbo:maximumElevation,dbo:elevation,Correct as it is now,,dbo:AdministrativeRegion,dbo:Island,dbo:Place,dbo:Place,xsd:double,xsd:double,0.4324,0.5676,0,0,37,16,21,0,0,37,37,0,0,0,0,0,1,0,0,1,0,0
Infobox_election,election_date,Κουτί_πληροφοριών_εκλογών,εκλογή_ημερομηνία,dbo:startDate,dbo:date,Wrong - should be the same,,dbo:Election,dbo:PrimeMinister,dbo:Event,,xsd:date,xsd:date,0.9375,0.0625,0,0,16,15,1,0,0,16,16,0,0,0,0,0,0,0,0,1,0,0
Infobox_monarch,reign,Infobox_Royalty,περίοδος_εξουσίας,dbo:activeYearsEndYear,dbo:activeYearsStartYear,,,dbo:Monarch,dbo:BritishRoyalty,,,xsd:gYear,xsd:gYear,0.1538,0.8571,0.8022,0.9341,91,14,78,73,85,91,91,0,0,0,0,0,0,0,0,1,0,0
Infobox_airport,elevation-m,Αεροδρόμιο,υψόμετρο,dbo:elevation,dbo:height,Wrong - should be the same,,dbo:Airport,dbo:Building,dbo:Place,,xsd:double,xsd:double,0.7,0.65,0,0,20,14,13,0,0,20,20,0,0,0,0,0,0,0,0,1,0,0
Infobox_political_party,founded,Κουτί_πληροφοριών_πολιτικού_κόμματος,ίδρυση,dbo:formationYear,dbo:foundingYear,Wrong - should be the same,,dbo:PoliticalParty,dbo:PoliticalParty,dbo:Organisation,,xsd:gYear,xsd:gYear,0.0625,0.0179,0,0,224,14,4,0,0,224,224,0,0,1,0,0,0,0,0,1,0,0
Infobox_French_commune,elevation_max_m,Πόλη_(Μαρτινίκη),Υψόμετρο,dbo:maximumElevation,dbo:elevation,Correct as it is now,,dbo:Settlement,dbo:City,dbo:Place,dbo:Place,xsd:double,xsd:double,1,0,0.0714,0,14,14,0,1,0,14,14,0,0,0,0,1,1,0,0,1,0,0
