Template A,Attribute A,Template B,Attribute B,Property A,Property B,Annotation,Notes (in case of confusion),Class A,Class B,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Infobox_settlement,subdivision_name1,Infobox_plaats_Verenigde_Staten,staat,dbo:isPartOf,dbo:state,Correct as it is now,,,dbo:Settlement,,,,dbo:PopulatedPlace,0.9986,0.9676,0,0,21499,21469,20802,0,0,21499,21499, ,0,0,0,0,0,0,0,0,0,0
Infobox_settlement,subdivision_name1,Infobox_plaats_Verenigde_Staten,staat,dbo:isPartOf,dbo:federalState,Correct as it is now,,,dbo:Settlement,,dbo:Settlement,,dbo:PopulatedPlace,0.9986,0.9676,0,0,21499,21469,20802,0,0,21499,21499,0,0,0,0,0,0,0,0,0,0,0
Infobox_settlement,subdivision_name2,Infobox_plaats_Verenigde_Staten,staat,dbo:isPartOf,dbo:state,Correct as it is now,,,dbo:Settlement,,,,dbo:PopulatedPlace,0.9672,0.9684,0,0,21499,20794,20819,0,0,21499,21499,0,0,0,0,0,0,0,0,0,0,0
Infobox_settlement,subdivision_name2,Infobox_plaats_Verenigde_Staten,staat,dbo:isPartOf,dbo:federalState,,,,dbo:Settlement,,dbo:Settlement,,dbo:PopulatedPlace,0.9672,0.9684,0,0,21499,20794,20819,0,0,21499,21499,0,0,0,0,0,0,0,0,0,0,0
Infobox_settlement,subdivision_name2,Infobox_plaats_Verenigde_Staten,county,dbo:isPartOf,dbo:county,Correct as it is now,,,dbo:Settlement,,,,dbo:PopulatedPlace,0.9654,0.9683,0,0,21356,20618,20680,0,0,21356,21356,0,0,0,0,0,0,0,0,0,0,0
Infobox_settlement,subdivision_name1,Infobox_plaats_Verenigde_Staten,county,dbo:isPartOf,dbo:county,Correct as it is now,,,dbo:Settlement,,,,dbo:PopulatedPlace,0.9646,0.9989,0,0,21356,20599,21332,0,0,21356,21356,0,0,0,0,0,0,0,0,0,0,0
Taxobox,regnum,Taxobox,rijk,dbo:kingdom,dbo:domain,,,,dbo:Species,dbo:Species,dbo:Species,,,0.993,0.0095,0.007,0,8316,8258,79,58,0,8316,8316,0,0,0,0,0,1,0,0,0,0,0
Taxobox,binomial_authority,Taxobox_vogel,auteur,dbo:binomialAuthority,dbo:authority,Wrong - should be the same,,,dbo:Bird,dbo:Species,,,,0.9884,0.0665,0,0,7642,7553,508,0,0,7642,7642,0,0,0,0,0,0,0,0,0,0,0
Infobox_football_biography,clubs2,Infobox_voetballer,club,dbo:team,dbo:club,Wrong - should be the same,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.7682,0.768,0,0,8230,6322,6321,0,0,8230,8230,0,0,0,0,0,0,0,0,1,0,0
Infobox_football_biography,clubs3,Infobox_voetballer,club,dbo:team,dbo:club,Wrong - should be the same,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.6866,0.6869,0,0,8230,5651,5653,0,0,8230,8230,0,0,0,0,0,0,0,0,1,0,0
Infobox_football_biography,nationalteam1,Infobox_voetballer,club,dbo:team,dbo:club,Wrong - should be the same,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.6638,0.6645,0,0,8230,5463,5469,0,0,8230,8230,0,0,0,0,0,0,0,0,1,0,0
Infobox_UK_place,shire_county,Infobox_plaats_in_Engeland,graafschap,dbo:country,dbo:county,Wrong - should be the same,,dbo:Settlement,dbo:Settlement,,,dbo:Country,dbo:PopulatedPlace,0.9526,0.953,0,1,5659,5391,5393,0,5659,5659,5659,0,0,1,0,0,0,0,0,0,1,0
Infobox_football_biography,clubs4,Infobox_voetballer,club,dbo:team,dbo:club,Wrong - should be the same,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.581,0.5812,0,0,8230,4782,4783,0,0,8230,8230,0,0,0,0,0,0,0,0,1,0,0
Infobox_film,distributor,Infobox_film,distributeur,dbo:distributor,dbo:publisher,Wrong - should be the same,,dbo:Film,dbo:Film,,dbo:Work,dbo:Organisation,dbo:Agent,0.8756,0.2317,0,0,5175,4531,1199,0,0,5175,5175,0,0,1,0,0,0,0,0,0,1,0
Infobox_football_biography,clubs1,Infobox_voetballer,club,dbo:team,dbo:club,Wrong - should be the same,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.5293,0.5273,0,0,8230,4356,4340,0,0,8230,8230,0,0,0,0,0,0,0,0,1,0,0
Taxobox,classis,Taxobox,klasse,dbo:class,dbo:classis,,,,dbo:Species,dbo:MeanOfTransportation,dbo:Species,,,0.5344,0.2053,0,0,8022,4287,1647,0,0,8022,8022,0,0,0,0,0,0,0,0,0,0,0
Taxobox,phylum,Taxobox,stam,dbo:phylum,dbo:tribus,Wrong - should be the same,,,dbo:Species,dbo:Species,dbo:Species,,dbo:Species,0.9894,0.1873,0,0,4329,4283,811,0,0,4329,4329,0,0,0,0,0,1,0,0,0,0,0
Infobox_football_biography,clubs5,Infobox_voetballer,club,dbo:team,dbo:club,Wrong - should be the same,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.4866,0.4866,0,0,8230,4005,4005,0,0,8230,8230,0,0,0,0,0,0,0,0,1,0,0
Infobox_football_biography,clubs2,Infobox_voetballer,huidigeclub,dbo:team,dbo:club,Wrong - should be the same,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.4758,0.4857,0,0,8230,3916,3997,0,0,8230,8230,0,0,0,0,0,0,0,0,1,0,0
Infobox_football_biography,currentclub,Infobox_voetballer,club,dbo:team,dbo:club,Wrong - should be the same,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.4633,0.4639,0,0,8230,3813,3818,0,0,8230,8230,0,0,0,0,0,0,0,0,1,0,0
Infobox_football_biography,currentclub,Infobox_voetballer,huidigeclub,dbo:team,dbo:club,Wrong - should be the same,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.4526,0.4566,0,0,8230,3725,3758,0,0,8230,8230,0,0,0,0,0,0,0,0,1,0,0
Infobox_settlement,subdivision_name1,Infobox_plaats_in_India,deelstaat,dbo:isPartOf,dbo:federalState,,,,dbo:Settlement,,dbo:Settlement,,dbo:PopulatedPlace,0.9698,0.9837,0,0,3810,3695,3748,0,0,3810,3810,0,0,0,0,0,0,0,0,0,0,0
Infobox_settlement,subdivision_name1,Infobox_gemeente_Spanje,provincie,dbo:isPartOf,dbo:province,,,,dbo:Municipality,,dbo:Place,,dbo:Province,0.9571,0.9249,0,0,3796,3633,3511,0,0,3796,3796,0,0,0,0,0,0,0,0,0,0,0
Infobox_settlement,subdivision_name2,Infobox_plaats_in_India,deelstaat,dbo:isPartOf,dbo:federalState,,,,dbo:Settlement,,dbo:Settlement,,dbo:PopulatedPlace,0.953,0.9808,0,0,3810,3631,3737,0,0,3810,3810,0,0,0,0,0,0,0,0,0,0,0
