Template A,Attribute A,Template B,Attribute B,Property A,Property B,Annotation,Notes (in case of confusion),Class A,Class B,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Taxobox,status,Taxobox_vogel,status,dbo:conservationStatus,dbo:status,Wrong - should be the same,,,dbo:Bird,dbo:Species,,xsd:string,xsd:string,0.9594,0.0407,0,0,9992,9586,407,0,0,9992,9992,0,0,0,0,0,0,0,0,1,0,0
Infobox_German_location,licence,Infobox_Duitse_plaats_plus,Kfz,dbo:areaCode,dbo:vehicleCode,Correct as it is now,,,dbo:Settlement,dbo:Place,dbo:Place,xsd:string,xsd:string,0.7479,0.9974,0,0.9982,11017,8240,10988,0,10997,11017,11017,0,0,0,0,0,1,0,0,1,0,0
Infobox_German_location,area_code,Infobox_Duitse_plaats_plus,Kfz,dbo:areaCode,dbo:vehicleCode,Correct as it is now,,,dbo:Settlement,dbo:Place,dbo:Place,xsd:string,xsd:string,0.7463,0.9978,0,0.9982,11017,8222,10993,0,10997,11017,11017,0,0,0,0,0,1,0,0,1,0,0
Taxobox,status,Taxobox_zoogdier,status,dbo:conservationStatus,dbo:status,Wrong - should be the same,,,dbo:Mammal,dbo:Species,,xsd:string,xsd:string,0.6527,0.3475,0,0,4725,3084,1642,0,0,4725,4725,0,0,0,0,0,0,0,0,1,0,0
Infobox_Swiss_town,municipality_code,Infobox_gemeente_Zwitserland,code,dbo:municipalityCode,dbo:code,Correct as it is now,,dbo:Settlement,dbo:Municipality,dbo:Place,,xsd:string,xsd:string,0.9881,0.0119,0,0,2513,2483,30,0,0,2513,2513,0,0,0,0,0,0,0,0,1,0,0
Infobox_album,Length,Infobox_muziekalbum,duur,dbo:runtime,dbo:playingTime,Correct as it is now,,dbo:Album,dbo:Album,dbo:Work,,xsd:double,xsd:double,0.5633,0.4756,0,0,2498,1407,1188,0,0,2498,2498,0,0,1,0,0,0,0,0,1,0,0
Infobox_single,Length,Infobox_single,Duur,dbo:runtime,dbo:playingTime,Correct as it is now,,dbo:Single,dbo:Single,dbo:Work,,xsd:double,xsd:double,0.6507,0.5998,0,0,2024,1317,1214,0,0,2024,2024,0,0,1,0,0,0,0,0,1,0,0
Infobox_company,foundation,Infobox_bedrijf,oprichting,dbo:foundingYear,dbo:formationYear,Wrong - should be the same,,,dbo:Company,,dbo:Organisation,xsd:gYear,xsd:gYear,0.8532,0.215,0,0,1042,889,224,0,0,1042,1042,0,0,0,0,0,0,0,0,1,0,0
Infobox_film,gross,Infobox_film,opbrengst,dbo:gross,dbo:revenue,Correct as it is now,,dbo:Film,dbo:Film,dbo:Film,dbo:Organisation,xsd:double,xsd:double,0.4057,0.6016,0,0,1797,729,1081,0,0,1797,1797,0,0,1,0,0,0,0,0,1,0,0
Taxobox,status,Taxobox_straalvinnige,status,dbo:conservationStatus,dbo:status,Wrong - should be the same,,,dbo:Fish,dbo:Species,,xsd:string,xsd:string,0.8468,0.1532,0,0,829,702,127,0,0,829,829,0,0,0,0,0,0,0,0,1,0,0
Geobox,code,Infobox_plaats_in_Slowakije,kenteken,dbo:code,dbo:vehicleCode,Correct as it is now,,,dbo:Settlement,,dbo:Place,xsd:string,xsd:string,0.8953,0.1047,0,0,783,701,82,0,0,783,783,0,0,0,0,0,0,0,0,1,0,0
Infobox_Former_Country,year_end,Infobox_historisch_land,Jaar_van_ontstaan,dbo:dissolutionYear,dbo:foundingYear,Correct as it is now,,,dbo:Country,dbo:Organisation,dbo:PopulatedPlace,xsd:gYear,xsd:gYear,0.0318,0.9682,0.9622,0.9682,661,21,640,636,640,661,661,0,0,0,0,0,0,0,0,1,0,0
Infobox_Former_Country,year_start,Infobox_historisch_land,Jaar_van_afloop,dbo:foundingYear,dbo:dissolutionYear,Correct as it is now,,,dbo:Country,dbo:Organisation,dbo:PopulatedPlace,xsd:gYear,xsd:gYear,0.0246,0.9831,0.9816,0.9831,651,16,640,639,640,651,651,0,0,0,0,0,0,0,0,1,0,0
Infobox_automobile,production,Infobox_autotype,jaren,dbo:productionStartYear,dbo:modelStartYear,Correct as it is now,,dbo:Automobile,dbo:Automobile,,dbo:MeanOfTransportation,xsd:gYear,xsd:gYear,0.7503,0.2497,0.1021,0,793,595,198,81,0,793,793,0,0,1,0,0,0,0,0,1,0,0
Taxobox,status,Taxobox,status,dbo:conservationStatus,dbo:status,Wrong - should be the same,,,dbo:Species,dbo:Species,,xsd:string,xsd:string,0.8091,0.1909,0,0,723,585,138,0,0,723,723,0,0,0,0,0,0,0,0,1,0,0
Taxobox,status,Taxobox_insect,status,dbo:conservationStatus,dbo:status,Wrong - should be the same,,,dbo:Insect,dbo:Species,,xsd:string,xsd:string,0.9375,0.0625,0,0,560,525,35,0,0,560,560,0,0,0,0,0,0,0,0,1,0,0
Taxobox,status,Taxobox_amfibie,status,dbo:conservationStatus,dbo:status,Wrong - should be the same,,,dbo:Insect,dbo:Species,,xsd:string,xsd:string,0.8069,0.1931,0,0,606,489,117,0,0,606,606,0,0,0,0,0,0,0,0,1,0,0
Infobox_professional_wrestler,birth_date,Infobox_professioneel_worstelaar,geboortedatum,dbo:birthDate,dbo:deathDate,Wrong - should be the same,dbo:birthDate is correct,dbo:Wrestler,dbo:Wrestler,dbo:Person,dbo:Person,xsd:date,xsd:date,0.8634,0.3085,0.2029,0,483,417,149,98,0,483,483,0,0,1,0,0,1,0,0,1,0,0
Infobox_tennis_biography,careerprizemoney,Infobox_tennisspeler,prijzengeld,dbo:careerPrizeMoney,dbo:gross,Wrong - should be the same,,dbo:TennisPlayer,dbo:TennisPlayer,dbo:TennisPlayer,dbo:Film,xsd:double,xsd:double,0.4628,0.5372,0,0,886,410,476,0,0,886,886,0,0,1,0,0,0,0,0,1,0,0
Infobox_former_country,year_end,Infobox_historisch_land,Jaar_van_ontstaan,dbo:dissolutionYear,dbo:foundingYear,Correct as it is now,,dbo:Country,dbo:Country,dbo:Organisation,dbo:PopulatedPlace,xsd:gYear,xsd:gYear,0.0258,0.9767,0.9767,0.9742,387,10,378,378,377,387,387,0,0,1,0,0,0,0,0,1,0,0
Infobox_former_country,year_start,Infobox_historisch_land,Jaar_van_afloop,dbo:foundingYear,dbo:dissolutionYear,Correct as it is now,,dbo:Country,dbo:Country,dbo:Organisation,dbo:PopulatedPlace,xsd:gYear,xsd:gYear,0.0132,0.9868,0.9868,0.9895,380,5,375,375,376,380,380,0,0,1,0,0,0,0,0,1,0,0
Drugbox,CAS_number,Infobox_geneesmiddel,CAS_nummer,dbo:casNumber,dbo:casSupplemental,Wrong - should be the same,dbo:casNumber  is correct,dbo:Drug,dbo:Drug,,,xsd:string,xsd:string,0.8497,0.0706,0.0524,0,439,373,31,23,0,439,439,0,0,1,0,0,0,0,0,1,0,0
Infobox_automobile,production,Infobox_autotype,jaren,dbo:productionEndYear,dbo:modelEndYear,Correct as it is now,,dbo:Automobile,dbo:Automobile,,dbo:MeanOfTransportation,xsd:gYear,xsd:gYear,0.5604,0.4396,0.0288,0,555,311,244,16,0,555,555,0,0,1,0,0,0,0,0,1,0,0
Infobox_person,years_active,Infobox_acteur,overleden,dbo:activeYearsEndYear,dbo:deathYear,Correct as it is now,,dbo:Person,dbo:Actor,,dbo:Person,xsd:gYear,xsd:gYear,0.2575,0.4108,0.6483,0.3742,1200,309,493,778,449,1200,1200,0,0,0,0,1,0,0,0,1,0,0
Infobox_person,death_date,Infobox_acteur,jaren-actief,dbo:deathYear,dbo:activeYearsEndYear,Correct as it is now,,dbo:Person,dbo:Actor,dbo:Person,,xsd:gYear,xsd:gYear,0.3599,0.6413,0.5368,0.6342,842,303,540,452,534,842,842,0,0,0,0,1,0,0,0,1,0,0
Infobox_Album,Length,Infobox_muziekalbum,duur,dbo:runtime,dbo:playingTime,Correct as it is now,,,dbo:Album,dbo:Work,,xsd:double,xsd:double,0.6291,0.392,0,0,426,268,167,0,0,426,426,0,0,0,0,0,0,0,0,1,0,0
Infobox_person,years_active,Infobox_acteur,jaren-actief,dbo:activeYearsStartYear,dbo:activeYearsEndYear,Wrong - should be the same,,dbo:Person,dbo:Actor,,,xsd:gYear,xsd:gYear,0.1847,0.4576,0.4721,0.6023,1451,268,664,685,874,1451,1451,0,0,0,0,1,0,0,0,1,0,0
Taxobox,status,Taxobox_reptiel,status,dbo:conservationStatus,dbo:status,Wrong - should be the same,,,dbo:Reptile,dbo:Species,,xsd:string,xsd:string,0.6792,0.3208,0,0,346,235,111,0,0,346,346,0,0,0,0,0,0,0,0,1,0,0
