Template A,Attribute A,Template B,Attribute B,Property A,Property B,Annotation,Notes (in case of confusion),Class A,Class B,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Ficha_de_entidad_subnacional,tipo_superior_2,Infobox_Gemeinde_in_Frankreich,département,dbo:region,dbo:department,Correct as it is now,,dbo:AdministrativeRegion,dbo:Settlement,,dbo:PopulatedPlace,dbo:Place,dbo:PopulatedPlace,0.0001,0.9999,0,0.9973,17545,1,17544,0,17498,17545,17545,0,0,0,0,0,0,0,0,0,0,0
Ficha_de_deportista,lugar_nacimiento,Infobox_Fußballspieler,nationalmannschaft,dbo:birthPlace,dbo:nationalTeam,Correct as it is now,,dbo:Athlete,dbo:SoccerPlayer,dbo:Person,dbo:Athlete,dbo:Place,dbo:SportsTeam,0.0001,1,0.0403,0.9953,7645,1,7645,308,7609,7645,7645,0,0,0,0,0,0,0,0,0,0,0
Ficha_de_deportista,club,Infobox_Fußballspieler,vereine,dbo:team,dbo:club,Wrong - should be the same,Wrong extraction -> domains and ranges shouldn't be the same,dbo:Athlete,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.8291,0.9615,0,0,6262,5192,6021,0,0,6262,6262,0,0,0,0,0,0,0,0,1,0,0
Ficha_de_deportista,club,Infobox_Fußballspieler,position,dbo:team,dbo:position,Correct as it is now,,dbo:Athlete,dbo:SoccerPlayer,,,dbo:SportsTeam,,0.0009,0.9998,0.7229,0,5793,5,5792,4188,0,5793,5793,0,0,0,0,0,0,0,0,0,0,0
Ficha_de_película,reparto,Infobox_Film,REG,dbo:starring,dbo:director,Correct as it is now,,dbo:Film,dbo:Film,dbo:Work,dbo:Film,dbo:Actor,dbo:Person,0.0519,0.9556,0.7371,0.9661,6017,312,5750,4435,5813,6017,6017,0,0,1,0,0,0,0,0,0,0,0
Ficha_de_deportista,nacionalidad,Infobox_Fußballspieler,geburtsland,dbo:nationality,dbo:birthPlace,Correct as it is now,,dbo:Athlete,dbo:SoccerPlayer,dbo:Person,dbo:Person,dbo:Country,dbo:Place,0.884,0.9342,0.8673,0,5923,5236,5533,5137,0,5923,5923,0,0,0,0,0,1,0,0,0,0,0
Ficha_de_deportista,nacionalidad,Infobox_Fußballspieler,geburtsort,dbo:nationality,dbo:birthPlace,Correct as it is now,,dbo:Athlete,dbo:SoccerPlayer,dbo:Person,dbo:Person,dbo:Country,dbo:Place,0.8058,0.9166,0.8673,0,5923,4773,5429,5137,0,5923,5923,0,0,0,0,0,1,0,0,0,0,0
Ficha_de_película,reparto,Infobox_Film,MUSIK,dbo:starring,dbo:musicComposer,Correct as it is now,,dbo:Film,dbo:Film,dbo:Work,dbo:Work,dbo:Actor,dbo:MusicalArtist,0.0141,0.9569,0.5668,0.9585,5522,78,5284,3130,5293,5522,5522,0,0,1,0,0,1,0,0,0,0,0
Ficha_de_deportista,club,Infobox_Fußballspieler,nationalmannschaft,dbo:team,dbo:nationalTeam,Correct as it is now,,dbo:Athlete,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.0022,0.9982,0.0507,0,4973,11,4964,252,0,4973,4973,0,0,0,0,0,0,0,0,1,0,0
Ficha_de_película,dirección,Infobox_Film,DS,dbo:director,dbo:starring,Correct as it is now,,dbo:Film,dbo:Film,dbo:Film,dbo:Work,dbo:Person,dbo:Actor,0.0744,0.945,0.8526,0.9662,5204,387,4918,4437,5028,5204,5204,0,0,1,0,0,0,0,0,0,0,0
