Template A,Attribute A,Template B,Attribute B,Property A,Property B,Class A,Class B,Annotation,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Infobox_single, Artist, Ficha_de_sencillo, artista, dbo:musicalBand, dbo:musicalArtist, http://dbpedia.org/ontology/Single, http://dbpedia.org/ontology/Single, Wrong - should be the same, dbo:Single, dbo:Single, dbo:Band, dbo:MusicalArtist, 0.1886, 1.5502, 0.1057, 0.0000, 4735, 893, 7340, 776, 0, 7340, 7340, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0
Infobox_football_biography, birth_place, Ficha_de_deportista, nacionalidad, dbo:birthPlace, dbo:nationality, , http://dbpedia.org/ontology/Athlete, Correct as it is now, dbo:Person, dbo:Person, dbo:Place, dbo:Country, 1.8255, 1.8882, 0.0002, 0.8804, 6371, 11630, 12030, 2, 10591, 12030, 12030, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1
Taxobox, ordo, Ficha_de_taxón, classis, dbo:order, dbo:class, , , Correct as it is now, dbo:Species, dbo:MeanOfTransportation, , , 1.5015, 1.5715, 0.9960, 0.9784, 39223, 58893, 61639, 61393, 60306, 61639, 61639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Infobox_album, Artist, Ficha_de_álbum, productor, dbo:artist, dbo:producer, http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Album, Correct as it is now, dbo:MusicalWork, dbo:Work, dbo:Agent, dbo:Agent, 0.8768, 1.3462, 0.6881, 0.3763, 5113, 4483, 6883, 4736, 2590, 6883, 6883, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1
Taxobox, unranked_ordo, Ficha_de_taxón, classis, dbo:order, dbo:class, , , Correct as it is now, dbo:Species, dbo:MeanOfTransportation, , , 0.3366, 1.5715, 0.9960, 0.9784, 39223, 13201, 61639, 61393, 60306, 61639, 61639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Taxobox, unranked_ordo, Ficha_de_taxón, subclassis, dbo:order, dbo:class, , , Correct as it is now, dbo:Species, dbo:MeanOfTransportation, , , 0.1921, 1.5715, 0.9960, 0.9784, 39223, 7534, 61639, 61393, 60306, 61639, 61639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Taxobox, ordo, Ficha_de_taxón, subclassis, dbo:order, dbo:class, , , Correct as it is now, dbo:Species, dbo:MeanOfTransportation, , , 0.5455, 1.5715, 0.9960, 0.9784, 39223, 21397, 61639, 61393, 60306, 61639, 61639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Infobox_film, director, Ficha_de_película, guion, dbo:director, dbo:writer, http://dbpedia.org/ontology/Film, http://dbpedia.org/ontology/Film, Correct as it is now, dbo:Film, dbo:Work, dbo:Person, dbo:Person, 0.7483, 1.3547, 0.6114, 0.4280, 4088, 3059, 5538, 3386, 2370, 5538, 5538, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1
Infobox_musical_artist, associated_acts, Ficha_de_artista_musical, Artistas_relacionados, dbo:associatedBand, dbo:related, , http://dbpedia.org/ontology/MusicalArtist, Wrong - should be the same, , , dbo:Band, , 0.6153, 1.2112, 0.0000, 0.0000, 4375, 2692, 5299, 0, 0, 5299, 5299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Infobox_musical_artist, associated_acts, Ficha_de_artista_musical, Artistas_relacionados, dbo:associatedMusicalArtist, dbo:related, , http://dbpedia.org/ontology/MusicalArtist, Wrong - should be the same, , , dbo:MusicalArtist, , 0.6153, 1.2112, 0.0000, 0.0000, 4375, 2692, 5299, 0, 0, 5299, 5299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Infobox_football_club, ground, Ficha_de_equipo_de_fútbol, Estadio, dbo:ground, dbo:homeArena, http://dbpedia.org/ontology/SoccerClub, http://dbpedia.org/ontology/SoccerClub, Wrong - should be the same, dbo:SoccerClub, , dbo:Place, dbo:Arena, 1.3556, 1.4385, 0.0000, 0.0000, 2292, 3107, 3297, 0, 0, 3297, 3297, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1
Infobox_football_club, ground, Ficha_de_equipo_de_fútbol, Estadio, dbo:ground, dbo:homeStadium, http://dbpedia.org/ontology/SoccerClub, http://dbpedia.org/ontology/SoccerClub, Wrong - should be the same, dbo:SoccerClub, , dbo:Place, dbo:Stadium, 1.2223, 1.4253, 0.0000, 0.0000, 2542, 3107, 3623, 0, 0, 3623, 3623, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1
Infobox_film, writer, Ficha_de_película, dirección, dbo:writer, dbo:director, http://dbpedia.org/ontology/Film, http://dbpedia.org/ontology/Film, Correct as it is now, dbo:Work, dbo:Film, dbo:Person, dbo:Person, 0.6207, 1.3056, 0.7266, 0.3309, 5023, 3118, 6558, 4765, 2170, 6558, 6558, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1
Infobox_settlement, subdivision_name1, Ficha_de_localidad_de_España, comarca, dbo:isPartOf, dbo:county, , http://dbpedia.org/ontology/Municipality, , , , , dbo:PopulatedPlace, 1.2664, 1.2799, 0.0000, 0.0000, 2526, 3199, 3233, 0, 0, 3233, 3233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Infobox_settlement, subdivision_name3, Ficha_de_localidad_de_España, comarca, dbo:isPartOf, dbo:county, , http://dbpedia.org/ontology/Municipality, , , , , dbo:PopulatedPlace, 0.9386, 1.2799, 0.0000, 0.0000, 2526, 2371, 3233, 0, 0, 3233, 3233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Taxobox, ordo, Ficha_de_taxón, familia, dbo:order, dbo:family, , , , dbo:Species, dbo:Species, , dbo:Species, 1.5421, 1.5940, 0.9776, 0.9743, 36757, 56683, 58589, 57275, 57081, 58589, 58589, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0
Infobox_settlement, subdivision_name2, Ficha_de_localidad_de_España, comarca, dbo:isPartOf, dbo:county, , http://dbpedia.org/ontology/Municipality, , , , , dbo:PopulatedPlace, 1.1797, 1.2799, 0.0000, 0.0000, 2526, 2980, 3233, 0, 0, 3233, 3233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Infobox_album, Producer, Ficha_de_álbum, artista, dbo:producer, dbo:artist, http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Album, Correct as it is now, dbo:Work, dbo:MusicalWork, dbo:Agent, dbo:Agent, 1.1429, 1.4230, 0.8050, 0.4172, 3849, 4399, 5477, 4409, 2285, 5477, 5477, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1
Infobox_single, Artist, Ficha_de_sencillo, escritor, dbo:musicalBand, dbo:writer, http://dbpedia.org/ontology/Single, http://dbpedia.org/ontology/Single, Correct as it is now, dbo:Single, dbo:Work, dbo:Band, dbo:Person, 1.0851, 1.5295, 0.6771, 0.0000, 3547, 3849, 5425, 3673, 0, 5425, 5425, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0
Infobox_single, Artist, Ficha_de_sencillo, escritor, dbo:musicalArtist, dbo:writer, http://dbpedia.org/ontology/Single, http://dbpedia.org/ontology/Single, Correct as it is now, dbo:Single, dbo:Work, dbo:MusicalArtist, dbo:Person, 1.0851, 1.5295, 0.6771, 0.6817, 3547, 3849, 5425, 3673, 3698, 5425, 5425, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0
Infobox_musical_artist, birth_place, Ficha_de_artista_musical, Origen, dbo:birthPlace, dbo:hometown, , http://dbpedia.org/ontology/MusicalArtist, Correct as it is now, dbo:Person, dbo:Agent, dbo:Place, dbo:Settlement, 0.9139, 1.2706, 0.2067, 0.0000, 2498, 2283, 3174, 656, 0, 3174, 3174, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
Infobox_single, Writer, Ficha_de_sencillo, artista, dbo:writer, dbo:musicalArtist, http://dbpedia.org/ontology/Single, http://dbpedia.org/ontology/Single, Correct as it is now, dbo:Work, dbo:Single, dbo:Person, dbo:MusicalArtist, 1.2389, 1.5189, 0.8276, 0.5536, 3696, 4579, 5614, 4646, 3108, 5614, 5614, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
Infobox_musical_artist, associated_acts, Ficha_de_artista_musical, relacionados, dbo:associatedBand, dbo:related, , http://dbpedia.org/ontology/MusicalArtist, Correct as it is now, , , dbo:Band, , 0.3577, 1.2112, 0.0000, 0.0000, 4375, 1565, 5299, 0, 0, 5299, 5299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Infobox_musical_artist, associated_acts, Ficha_de_artista_musical, relacionados, dbo:associatedMusicalArtist, dbo:related, , http://dbpedia.org/ontology/MusicalArtist, Correct as it is now, , , dbo:MusicalArtist, , 0.3577, 1.2112, 0.0000, 0.0000, 4375, 1565, 5299, 0, 0, 5299, 5299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Infobox_film, director, Ficha_de_película, producción, dbo:director, dbo:producer, http://dbpedia.org/ontology/Film, http://dbpedia.org/ontology/Film, Correct as it is now, dbo:Film, dbo:Work, dbo:Person, dbo:Agent, 0.9427, 1.3425, 0.7258, 0.4938, 2899, 2733, 3892, 2825, 1922, 3892, 3892, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0
Geobox, timezone_DST, Ficha_de_entidad_subnacional, horario, dbo:daylightSavingTimeZone, dbo:timeZone, , http://dbpedia.org/ontology/AdministrativeRegion, Correct as it is now, dbo:Place, dbo:Place, , , 0.4887, 1.0130, 0.0129, 0.0000, 2607, 1274, 2641, 34, 0, 2641, 2641, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0
Geobox, timezone_DST, Ficha_de_entidad_subnacional, horario_verano, dbo:daylightSavingTimeZone, dbo:timeZone, , http://dbpedia.org/ontology/AdministrativeRegion, Wrong - should be the same, dbo:Place, dbo:Place, , , 1.0046, 1.0130, 0.0129, 0.0000, 2607, 2619, 2641, 34, 0, 2641, 2641, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0
Infobox_film, producer, Ficha_de_película, dirección, dbo:producer, dbo:director, http://dbpedia.org/ontology/Film, http://dbpedia.org/ontology/Film, Correct as it is now, dbo:Work, dbo:Film, dbo:Agent, dbo:Person, 1.0827, 1.2580, 0.8628, 0.3079, 4329, 4687, 5446, 4699, 1677, 5446, 5446, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
Infobox_video_game, publisher, Ficha_de_videojuego, distribuidor, dbo:publisher, dbo:distributor, http://dbpedia.org/ontology/VideoGame, http://dbpedia.org/ontology/VideoGame, Correct as it is now, dbo:Work, , dbo:Agent, dbo:Organisation, 0.2220, 1.3854, 0.1134, 0.0007, 2203, 489, 3052, 346, 2, 3052, 3052, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1
Infobox_single, Producer, Ficha_de_sencillo, escritor, dbo:producer, dbo:writer, http://dbpedia.org/ontology/Single, http://dbpedia.org/ontology/Single, Correct as it is now, dbo:Work, dbo:Work, dbo:Agent, dbo:Person, 1.2570, 1.4536, 0.7948, 0.5231, 2934, 3688, 4265, 3390, 2231, 4265, 4265, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1
Infobox_single, Writer, Ficha_de_sencillo, productor, dbo:writer, dbo:producer, http://dbpedia.org/ontology/Single, http://dbpedia.org/ontology/Single, Correct as it is now, dbo:Work, dbo:Work, dbo:Person, dbo:Agent, 1.2106, 1.4790, 0.7935, 0.6607, 2236, 2707, 3307, 2624, 2185, 3307, 3307, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0
Infobox_single, Producer, Ficha_de_sencillo, artista, dbo:producer, dbo:musicalArtist, http://dbpedia.org/ontology/Single, http://dbpedia.org/ontology/Single, Correct as it is now, dbo:Work, dbo:Single, dbo:Agent, dbo:MusicalArtist, 1.2818, 1.4643, 0.8806, 0.4692, 3758, 4817, 5503, 4846, 2582, 5503, 5503, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
Infobox_single, Artist, Ficha_de_sencillo, productor, dbo:musicalArtist, dbo:producer, http://dbpedia.org/ontology/Single, http://dbpedia.org/ontology/Single, Correct as it is now, dbo:Single, dbo:Work, dbo:MusicalArtist, dbo:Agent, 1.1372, 1.4864, 0.7219, 0.7345, 2792, 3175, 4150, 2996, 3048, 4150, 4150, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0
Infobox_single, Artist, Ficha_de_sencillo, productor, dbo:musicalBand, dbo:producer, http://dbpedia.org/ontology/Single, http://dbpedia.org/ontology/Single, Correct as it is now, dbo:Single, dbo:Work, dbo:Band, dbo:Agent, 1.1372, 1.4864, 0.7219, 0.0000, 2792, 3175, 4150, 2996, 0, 4150, 4150, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0
